100010	40107
100010	7708
100012	100488
100012	25161
100012	40107
100012	7500
100012	7708
100012	912847
100012	99645
100012	99651
100017	150589
100017	39364
100017	7708
100017	912847
100020	57386
100020	7708
100020	99645
100033	26849
100344	11487
100344	13656
100344	27130
100488	22161
100488	7708
100531	7500
100531	7708
100531	93611
100555	101941
100555	25161
100555	40107
100555	7708
100555	99645
1008462	54637
1011539	1540370
1011539	25161
1011539	910218
101164	1105
101164	13656
101164	17714
101164	23058
101164	40204
101164	53952
101164	54379
101164	55798
101164	60168
101164	75172
101164	80248
101164	8241
101222	102738
101222	1451919
101222	20855
101222	25161
101222	902164
101222	94004
1012479	23143
1012479	24028
1012479	34957
1013357	137182
1013357	23143
1015	171415
1015	172170
1015	21404
1015	2765
1015	40163
1015	47090
1015	649479
10150	2522
10150	3045
10150	70
101516	1278620
101516	45
101516	54637
1015418	19871
1015418	200683
1015418	277246
101818	54637
101902	25161
101925	190604
101925	222803
101925	279198
101925	29224
101938	22522
101938	2765
101938	93979
101941	25161
101941	99075
1019568	1106
1019568	210839
1019568	30021
101960	25161
101964	1083
101966	866976
101979	190604
101979	54637
101982	101941
101982	25161
101984	45
101984	866976
1020197	212788
1020197	8241
102033	123488
102033	1684
102033	21404
102033	215301
102033	22522
102033	25428
102033	33381
102033	45
102033	50607
102033	71
102033	80897
102033	85370
1020484	147541
1020493	147541
1020493	604048
1020525	105350
1020525	85710
1020987	54637
1020987	596251
1020987	604048
102290	45
102290	54637
102318	1084
102318	11411
102318	11487
102318	13317
102318	15984
102318	165686
102318	17428
102318	17714
102318	20673
102318	213950
102318	25135
102318	25248
102318	27130
102318	33213
102318	3987
102318	4389
102318	45
102318	70
102318	71
102318	73678
102318	8241
102318	83
102734	25161
102738	1451919
102738	20855
102738	25161
102761	105041
102761	105072
102761	24691
1027800	26347
102817	27170
102817	32348
102817	325892
102817	45
102817	85500
102817	99957
102829	100033
102829	45
102831	45
102838	102829
102838	102831
102838	26782
102838	45
102848	105059
102848	21469
102848	24691
102848	84
102848	99026
1028902	14502
1033184	74208
103502	62936
103628	21404
103628	343015
103628	44911
103628	45
103628	62925
103628	62936
103697	1084
103800	24691
103845	24691
1038641	203043
103888	22522
103888	79514
103889	1083
103889	11397
103889	13656
103889	15964
103889	252015
103889	362915
103889	36830
103889	46722
103889	71
103975	1084
103975	147541
103975	83
1039943	45
10419	10669
10419	10670
10419	10671
10419	1084
10419	1105
10419	11411
10419	13656
10419	15388
10419	1684
10419	172758
10419	17714
10419	19658
10419	20448
10419	20673
10419	21404
10419	223542
10419	22356
10419	22382
10419	22522
10419	23058
10419	23143
10419	23329
10419	25248
10419	252758
10419	26885
10419	2765
10419	29447
10419	29741
10419	36431
10419	4005
10419	4058
10419	4068
10419	45
10419	48531
10419	69009
10419	71
10419	83
10419	85500
10419	9841
104281	15388
104809	24691
104815	20673
104815	22700
104815	24691
104815	32053
104815	95166
104815	99026
1048521	23058
104944	8241
104947	10669
104947	56169
104947	74208
104995	10419
104995	187517
104995	29741
105031	22700
105031	24691
105041	104809
105041	24691
105059	24691
105072	102761
105072	103800
105072	104815
105072	105041
105072	105059
105072	12303
105072	183095
105072	20673
105072	20875
105072	21469
105072	24691
105072	33703
105072	3695
105072	71
105072	84
105072	90344
105072	93618
105072	95154
105072	95166
105072	95346
105072	95655
105072	99026
105350	15388
105438	20878
105438	35287
105438	47951
105438	53414
105438	71
105577	10670
105577	1084
105577	161295
105577	21404
105577	22522
105577	2765
105577	3987
105577	45
105577	617
105577	70
105577	71
105577	8241
105577	89702
105577	93979
105610	7506
105632	23143
105632	24028
105632	71
105632	9841
105650	13998
105650	13999
105650	24028
105650	323579
105650	393362
105650	71
105657	203575
105657	204181
105657	229817
105657	24028
105657	323579
105657	71
105657	89129
